39;Sports Complex;Basketball, badminton, volleyball, screen golf, weight training, table tennis, dance;SPORTS;N3;WEEKDAYS,SATURDAY;7:00-23:00 or 8:00-18:00 on Saturday;1;urs.kaist.ac.kr
40;Undergraduate Field;Soccer, baseball;SPORTS;N13;WEEKDAYS,SATURDAY,SUNDAY;24 hours;1;.
41;Futsal Courts;Football;SPORTS;N13;WEEKDAYS,SATURDAY,SUNDAY;24 hours;1;.
42;Swimming Pool;Swimming;SPORTS;E15;WEEKDAYS,SATURDAY;8:00-21:00 or 8:00-18:00 on Saturday;1;.
43;Main Stadium;Soccer, running;SPORTS;E17;WEEKDAYS,SATURDAY,SUNDAY;24 hours;1;.
44;West Gym;Basketball, badminton, volleyball, squash, table tennis;SPORTS;W2;WEEKDAYS,SATURDAY,SUNDAY;24 hours;1;.
45;Tennis Courts;Tennis;SPORTS;N7, E17;WEEKDAYS,SATURDAY,SUNDAY;Sunrise-22:00;1;urs.kaist.ac.kr
46;Billiard Hall;Billiard;SPORTS;N12;WEEKDAYS,SATURDAY,SUNDAY;16:00-1:00 or 18:00-1:00 on Weekends;1;.
47;Gym N1;Weight training, fitness;SPORTS;N1;WEEKDAYS,SATURDAY,SUNDAY;24 hours;1;.
48;Gym N19;Weight training, fitness;SPORTS;N19;WEEKDAYS,SATURDAY,SUNDAY;24 hours;1;.
49;Gym N20;Weight training, fitness;SPORTS;N20;WEEKDAYS,SATURDAY,SUNDAY;24 hours;1;.
50;Gym E8;Weight training, fitness;SPORTS;E8;WEEKDAYS,SATURDAY,SUNDAY;24 hours;1;.
51;Gym W3;Weight training, fitness;SPORTS;W3;WEEKDAYS,SATURDAY,SUNDAY;24 hours;1;.
52;Gym W4;Weight training, fitness;SPORTS;W4;WEEKDAYS,SATURDAY,SUNDAY;24 hours;1;.
53;Gym W6;Weight training, fitness;SPORTS;W6;WEEKDAYS,SATURDAY,SUNDAY;24 hours;1;.
54;Music Practice Room;Piano, band;CULTURAL;N13;WEEKDAYS,SATURDAY,SUNDAY;24 hours;1;scspace.kaist.ac.kr/group-practice-room
55;Global Lounge;Cultural activities;CULTURAL;E9;WEEKDAYS,SATURDAY,SUNDAY;24 hours;1;.
56;Mir/Narae Hall;Laundry;OTHER;W6;WEEKDAYS,SATURDAY;9:00-18:00 or 9:00-13:00 on Saturday;1;.
57;Sejong Hall;Laundry;OTHER;E8;WEEKDAYS,SATURDAY;9:00-19:00 or 9:00-12:00 on Saturday;1;.
58;Barbershop;Barbershop;OTHER;N11;WEEKDAYS,SATURDAY;8:30-18:00 or 8:30-12:00 on Saturday;1;.
